"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J9,J5,J8,J6,J2,J7,J4,J3";"BarrelJack_CUI_PJ-063AH_Horizontal";8;"Barrel_Jack";;;
2;"J1";"AMASS_XT60-M";1;"XT60-M";;;
